valor,area_primeiro_andar,existe_segundo_andar,area_quintal,dist_metro,dist_parque
972500,94.2,1,27.76,1.246,0.464
1590000,157.38,0,47.21,0.797,2.681
565000,74.14,1,20.49,2.429,5.201
1312500,145.49,0,43.65,0.71,5.29
552500,80.45,0,19.12,4.167,13.343
395000,82.59,1,15.05,4.046,10.747
600000,58.16,1,17.45,2.902,14.075
1025000,113.53,1,26.42,1.204,3.688
1207500,173.91,0,51.42,1.716,2.236
685000,84.36,1,28.43,1.858,5.806
700000,127.74,0,38.1,2.094,11.726
900000,78.04,1,23.41,1.672,9.667
1385000,134.15,1,40.25,1.95,14.092
382500,121.33,0,20.29,8.632,10.98
1175000,150.97,0,43.84,0.876,2.147
865000,74.14,1,22.24,1.609,5.411
790000,120.96,0,36.29,2.187,3.852
725000,122.07,0,36.62,4.997,4.748
1150000,93.37,1,27.17,1.996,10.331
1037500,80.27,1,24.08,1.61,7.211
1100000,149.02,0,44.7,1.213,11.592
1157500,89.47,1,26.84,1.265,1.223
485000,81.94,0,0.0,4.867,13.723
880000,128.39,0,37.96,2.821,12.487
1380000,137.68,1,41.3,0.94,11.397
755000,112.6,0,14.1,2.054,12.821
650000,86.03,0,25.81,3.315,1.59
365000,70.98,0,18.95,4.667,13.627
877500,132.11,0,39.63,2.555,14.651
925000,74.51,1,22.35,2.418,1.102
897500,97.73,1,20.07,4.974,7.96
602500,72.28,0,20.62,4.308,6.954
740000,103.4,0,31.86,1.512,6.341
1330000,101.73,1,30.52,0.909,3.722
1207500,126.63,0,38.6,1.299,3.525
1450000,108.14,1,32.11,0.832,4.723
695000,151.62,0,34.56,2.908,10.435
622500,75.81,0,22.74,3.269,5.115
1025000,88.44,1,26.53,1.115,13.626
1005000,144.93,0,43.48,1.107,14.286
705000,80.27,0,24.08,6.66,4.637
2076490,197.05,0,59.11,0.282,1.385
960000,107.4,1,32.33,1.605,4.726
1142500,109.16,1,22.49,1.718,12.992
925000,117.24,0,35.17,1.805,3.465
1037500,122.07,0,36.62,1.634,10.268
1223000,136.38,0,40.91,0.632,10.186
896000,146.32,0,43.9,2.233,5.934
823500,58.06,1,17.42,1.905,3.373
795000,100.8,1,25.42,2.769,9.63
440000,79.71,0,23.91,5.277,6.184
610000,83.61,0,24.58,3.847,11.834
767875,64.85,1,19.45,1.915,2.277
1166150,100.24,1,30.07,0.502,6.653
679500,86.96,1,21.74,4.542,1.301
655000,106.65,1,21.4,4.274,12.741
1175000,136.38,1,22.16,1.262,0.52
835000,152.73,0,39.47,2.612,7.985
712500,93.18,0,27.95,2.328,14.83
760000,84.54,1,25.36,3.855,12.068
1195000,90.58,1,27.17,1.01,5.977
875000,96.71,1,19.57,1.613,14.018
792500,107.02,0,30.44,2.825,4.615
785000,124.12,0,32.47,4.808,9.142
1335000,112.41,1,28.65,0.773,9.055
1025000,143.16,0,42.95,1.835,11.093
749500,83.06,0,24.92,4.165,5.04
1475000,155.61,1,40.97,1.148,6.567
1529500,185.81,0,55.74,0.564,5.544
1125000,104.24,1,19.51,1.308,11.837
447500,96.15,1,8.89,2.848,14.214
412500,79.99,0,24.0,7.388,5.759
1800000,180.6,0,52.84,0.458,11.833
828000,64.75,1,19.43,2.848,9.648
660000,90.3,0,27.09,1.815,4.457
599500,73.67,1,22.1,3.499,13.497
1875000,189.15,0,59.53,1.103,2.367
890000,77.3,1,20.29,1.78,3.96
942500,66.52,1,19.96,1.884,2.078
1300000,107.12,1,23.55,1.406,2.13
1350000,101.08,1,30.32,0.81,9.617
1300000,127.46,1,37.54,1.155,12.618
937500,136.75,0,38.24,1.93,12.685
1713215,116.04,1,34.81,0.459,4.068
1770000,105.54,1,31.66,0.988,14.269
1505000,144.28,1,41.86,1.811,5.69
630875,108.05,0,32.39,9.763,10.679
1210000,176.33,1,19.79,1.025,1.596
435000,74.6,0,20.07,4.473,0.148
1620000,159.7,0,47.91,0.666,10.652
726250,128.48,0,38.55,2.896,13.472
1072500,134.24,1,23.52,2.703,1.696
390000,55.37,1,16.61,4.728,8.128
595000,160.54,0,48.16,4.621,13.06
695000,98.11,0,29.43,3.534,11.445
1420000,151.34,0,89.35,0.894,6.242
1035000,126.16,0,37.85,1.108,14.706
960000,87.61,1,26.28,2.808,6.648
1144750,150.41,1,41.78,4.717,1.554
1887130,178.56,0,53.57,0.267,14.491
1070000,142.7,0,42.81,1.817,14.197
1012500,150.6,0,33.67,1.46,8.495
775000,112.88,0,33.86,1.958,11.501
1014500,92.25,1,26.95,0.898,10.744
410000,78.13,0,20.09,5.683,10.197
437500,96.62,0,0.0,8.047,12.139
1330000,156.45,0,46.93,0.258,9.791
425000,49.8,1,14.94,3.657,14.515
701000,90.3,1,27.09,2.797,2.219
757500,89.0,0,26.7,2.95,4.89
787500,137.31,0,41.19,1.919,11.776
770000,70.98,1,21.29,1.641,8.741
2185770,171.68,1,51.51,0.32,13.216
1590305,173.64,0,52.09,0.494,1.599
950000,134.99,0,40.5,1.536,10.582
475000,57.23,1,17.17,4.878,14.729
529500,66.89,0,17.39,1.673,3.553
700000,110.74,1,26.2,2.956,2.271
887500,111.48,0,33.45,1.768,7.869
865000,108.42,0,32.27,2.944,10.148
670000,106.1,0,31.83,3.531,9.839
650000,125.6,0,29.6,3.217,8.415
1400000,100.89,1,30.27,0.717,5.744
780000,84.73,0,24.75,2.593,10.948
725000,91.79,1,24.61,3.627,14.834
992500,45.99,1,0.0,1.606,8.088
590000,44.87,1,13.46,2.267,6.537
950000,73.39,1,22.19,2.078,14.564
735000,62.43,1,18.73,4.153,3.485
795000,129.51,0,38.85,1.882,8.877
825000,132.94,0,30.63,2.563,12.754
660000,117.8,0,35.34,3.003,12.066
810000,119.57,0,29.63,4.851,11.469
862000,88.54,1,26.56,2.308,10.541
672160,104.05,1,0.0,7.158,10.9
625000,69.86,0,20.74,2.613,14.522
615000,122.54,0,16.95,4.341,1.022
1097500,78.69,1,23.61,1.364,6.93
305000,83.98,0,19.04,12.21,7.309
740000,84.91,0,24.25,4.328,11.051
1700000,146.79,1,44.04,0.665,5.024
1972160,172.43,0,51.73,0.294,3.769
895000,93.55,1,27.37,2.772,2.172
635000,95.32,1,28.6,4.44,9.906
938750,120.87,0,36.04,1.3,8.401
1067500,87.24,1,26.17,1.309,13.247
380000,72.84,0,21.85,2.113,7.619
1200000,100.24,1,44.04,2.104,10.41
960000,117.89,0,35.01,0.648,9.989
405000,61.13,1,18.34,3.255,10.779
625000,104.52,0,29.01,2.131,1.35
955000,137.4,0,40.91,1.94,6.615
2130000,161.84,1,46.88,0.168,2.551
595000,89.28,1,24.0,4.806,9.951
1075000,74.69,1,22.41,2.423,13.647
532500,81.94,0,0.0,3.602,11.259
500000,73.21,0,21.96,6.644,11.915
545000,68.28,1,20.49,3.001,3.002
645000,106.28,0,31.88,3.574,12.697
615000,83.06,0,24.92,3.86,11.689
847500,81.38,1,24.08,4.16,1.24
335000,100.06,0,26.78,4.309,7.63
1205000,103.31,1,30.44,1.465,3.422
1227500,119.66,0,35.12,0.721,5.33
824950,121.7,0,36.51,1.214,8.342
540000,62.43,0,18.73,3.946,6.44
1290000,108.23,1,31.8,0.951,6.448
840000,74.88,1,22.46,2.694,10.956
750000,150.5,0,35.7,5.509,11.354
575000,108.32,0,29.65,1.627,2.625
885000,78.04,1,23.41,2.273,8.989
1400000,99.5,1,29.63,1.633,11.887
1698750,97.55,1,28.82,0.668,1.451
300000,118.54,0,35.56,4.637,11.458
725000,98.11,0,29.43,4.502,1.286
1110000,137.31,0,40.97,1.673,6.993
575000,95.5,0,28.09,3.449,13.146
1140000,100.34,1,30.1,1.199,1.284
905670,124.49,0,37.35,1.024,2.042
747500,62.43,1,18.73,1.867,10.381
1195000,127.28,1,38.18,2.213,10.534
630000,70.23,1,21.07,4.699,8.267
710000,98.11,0,29.43,3.146,3.279
1031500,124.86,0,37.46,1.414,9.619
1075000,148.83,0,44.65,2.445,14.091
565000,91.79,0,27.54,3.389,14.258
1575000,136.57,1,40.97,0.848,6.134
695000,111.11,0,33.33,2.242,14.41
675000,65.68,1,18.14,1.244,5.903
1375000,152.73,0,42.31,1.656,4.898
545040,84.26,0,25.28,5.017,6.91
977000,112.23,0,33.67,1.751,14.79
875000,131.18,0,38.8,2.655,6.418
427000,44.87,1,13.46,1.66,5.072
399500,101.08,1,25.11,2.138,11.086
612500,71.07,1,21.32,3.352,9.908
905000,86.03,1,25.81,2.937,11.622
405000,58.53,0,17.56,6.554,10.933
1060000,76.83,1,22.27,1.05,1.673
580000,68.19,1,18.06,1.874,6.765
595000,83.98,0,24.64,2.773,7.136
451750,64.47,0,12.26,3.913,14.741
550000,63.55,1,19.06,2.702,7.922
2775000,223.15,0,86.23,0.167,11.651
590000,133.78,0,40.13,7.964,6.028
814500,104.79,1,30.04,4.191,1.158
862500,116.87,0,35.06,1.95,6.481
1050000,86.68,1,25.5,1.891,8.306
637500,156.91,0,40.02,2.419,6.586
950000,175.4,0,42.28,2.579,0.605
999500,88.82,1,25.92,1.505,3.258
597500,72.46,1,21.74,2.746,1.695
600000,63.08,1,18.09,9.096,10.886
550000,75.53,0,22.66,2.846,8.387
1400000,142.42,0,42.73,1.744,12.422
1020000,82.5,1,24.3,2.212,13.089
1050000,73.02,1,21.4,0.63,11.536
940000,160.54,0,48.16,3.494,12.12
877500,115.39,0,34.62,1.638,13.641
490000,57.97,1,17.39,4.532,13.795
1280000,154.5,0,38.02,6.564,12.482
805000,77.39,1,16.39,0.813,13.543
550000,90.95,1,19.76,3.549,5.874
1317175,77.3,1,23.19,0.539,2.995
775000,53.42,1,15.61,1.286,11.786
311915,80.27,0,24.08,3.543,12.38
943500,78.87,1,19.93,1.98,12.891
620000,96.62,0,28.99,4.08,11.45
893700,131.36,0,38.32,1.138,9.04
835000,118.64,0,35.59,1.231,8.253
732500,82.5,1,20.29,4.388,14.794
1250000,151.8,0,45.32,0.853,5.016
935000,77.3,1,23.19,1.596,0.393
1060000,139.54,0,41.47,0.704,14.076
950000,107.86,1,22.52,1.543,0.633
740000,99.59,0,15.25,2.124,3.195
2200000,183.58,0,55.07,0.603,5.348
1255000,153.48,0,41.64,0.71,7.187
662500,90.12,0,27.03,4.81,8.106
1044500,138.7,0,41.19,2.376,4.266
1900000,192.22,1,60.01,0.409,4.386
1485000,159.61,0,47.52,0.928,3.051
447355,105.07,0,25.28,7.297,7.591
1630000,171.87,0,51.09,0.314,2.983
1870000,166.48,0,49.94,0.202,5.937
775000,85.1,1,25.36,1.352,3.413
820000,112.97,0,33.89,2.63,9.863
662500,92.81,0,27.84,4.707,9.682
735000,103.4,0,31.02,4.907,4.216
780000,99.68,0,29.91,3.838,14.989
875000,137.87,0,41.36,4.495,4.98
800000,164.07,1,26.59,4.092,13.694
430000,58.53,0,17.56,6.81,5.196
575000,57.23,1,7.36,3.441,8.86
665000,89.0,1,22.46,1.829,13.77
863925,67.63,1,20.29,2.154,9.097
775000,117.89,0,35.37,3.058,5.74
456500,82.31,0,5.3,3.672,14.373
174500,66.89,0,20.07,7.037,9.719
2150000,299.89,0,89.19,0.702,8.849
920000,105.26,1,28.6,1.165,7.747
650000,83.52,0,24.08,3.935,4.966
600000,84.73,0,25.42,3.255,6.711
565000,62.43,1,18.73,2.433,11.284
1133500,80.45,1,24.14,1.027,10.938
700000,112.78,0,33.84,3.788,11.99
1445000,167.32,0,41.83,1.564,11.19
735000,79.43,1,23.83,1.541,14.887
622500,89.19,1,26.76,4.285,12.985
1075000,98.94,1,21.66,0.568,4.875
1041500,113.16,0,33.95,2.193,14.96
805000,64.01,1,19.2,1.05,6.961
622500,96.71,0,29.01,3.758,9.12
824500,126.63,0,28.09,3.423,13.163
1013325,127.09,0,38.13,1.327,2.75
649500,80.27,0,24.08,4.522,10.238
670000,100.34,0,30.21,2.069,7.536
482500,73.3,0,21.4,4.504,3.805
2014305,187.66,0,55.91,0.183,1.863
790000,128.02,1,19.2,1.878,10.972
1325000,118.64,1,35.23,1.082,8.71
1055000,81.94,1,22.13,1.529,7.364
1170000,118.54,1,35.56,1.539,9.942
531250,64.47,1,0.0,8.0,5.275
750000,115.57,0,34.67,2.025,10.792
795000,93.27,1,27.98,2.475,10.67
923750,291.53,1,87.46,0.178,1.644
1578750,128.48,1,38.43,1.652,7.418
880000,117.62,0,35.03,1.754,9.095
660000,86.21,0,25.86,4.899,8.687
2231305,137.12,1,40.47,0.26,8.959
430000,56.21,0,14.72,5.061,1.635
1003120,233.65,0,56.72,1.729,11.922
875000,140.19,0,40.72,1.689,13.722
640000,69.77,1,17.03,2.504,3.139
537500,76.83,0,0.0,4.128,11.396
196500,31.03,0,0.0,12.654,8.995
890000,65.68,1,19.7,0.85,11.371
537500,76.18,1,31.13,4.534,1.225
940000,81.75,1,24.53,1.168,1.489
556250,80.27,0,24.08,6.822,8.628
790000,107.67,0,29.29,4.496,8.757
1360000,148.74,0,44.06,0.557,2.472
1575000,170.76,0,51.23,0.446,11.868
1240000,92.62,1,27.01,0.982,2.372
1066250,156.08,0,45.99,1.108,2.839
665000,71.26,0,20.15,1.026,12.151
898325,61.69,1,18.23,1.312,11.133
1145000,127.93,1,33.56,1.677,12.986
1050000,85.01,1,29.68,2.937,5.085
647500,71.35,0,21.4,3.793,9.562
625000,76.64,0,22.99,4.43,10.045
1315000,84.73,1,25.42,1.076,11.509
700000,99.31,0,29.79,2.536,3.543
562500,86.21,0,25.86,4.254,1.702
1277500,159.51,0,47.63,0.551,11.647
540000,104.61,0,0.0,7.317,10.122
1420000,93.46,1,27.82,1.85,10.005
565000,97.36,0,27.68,4.201,14.436
705000,101.45,0,30.44,3.242,8.565
540000,83.33,1,17.75,7.952,8.672
875000,67.73,1,20.32,1.783,11.647
1170000,144.65,0,38.29,1.347,11.406
607500,129.32,0,38.8,3.857,7.997
850000,129.04,0,38.71,3.741,1.726
540000,92.53,0,27.76,4.012,14.784
925000,108.05,1,32.41,2.012,11.196
1340000,108.32,1,30.52,1.85,7.691
640000,78.13,1,22.46,2.733,10.345
1625000,105.35,1,31.27,0.232,4.516
1070000,142.61,0,42.28,1.961,4.259
1583000,138.98,1,41.69,0.818,1.545
679800,87.61,0,26.28,4.657,6.558
713000,160.54,0,48.16,4.415,8.922
600000,80.27,0,24.08,2.153,2.425
1122500,78.6,1,23.58,1.734,3.592
850000,71.91,1,10.7,1.965,6.441
695000,53.51,1,10.37,3.54,1.004
592500,77.3,1,23.19,4.616,12.334
725000,81.48,1,24.0,1.538,3.261
822500,122.63,0,32.44,3.967,13.692
730000,65.31,1,19.2,1.436,8.982
657500,97.55,1,29.26,4.462,5.351
909500,132.76,0,31.88,1.903,2.0
1266465,189.71,0,56.91,0.926,9.819
592500,75.81,0,22.74,2.746,1.825
1625000,141.31,1,34.48,0.109,13.0
665000,91.88,1,24.64,7.645,14.97
1849500,188.41,0,52.06,0.622,12.603
650000,77.85,0,22.74,2.197,2.565
685000,79.9,0,23.41,4.221,9.176
715000,136.85,0,40.05,3.758,9.662
397500,72.37,0,20.68,3.057,2.617
929500,71.54,1,21.46,1.851,13.27
2259750,160.54,1,47.99,0.118,2.377
690000,75.81,0,22.74,3.424,13.538
700000,78.78,0,23.63,2.697,14.665
550000,85.84,0,25.75,3.681,9.16
1595000,169.64,0,50.56,0.94,5.634
572520,63.55,1,19.06,2.552,1.733
971005,130.25,0,35.06,1.276,5.818
1087500,153.01,0,39.86,3.02,1.502
755000,66.52,1,19.96,2.922,10.486
1375000,98.29,1,29.49,0.543,9.328
705000,72.46,1,21.74,2.58,11.236
1100000,86.12,1,25.31,0.744,13.173
755000,55.74,1,16.72,1.758,5.412
1105000,138.8,0,41.64,1.691,11.499
1025000,110.18,1,21.4,1.646,11.352
760000,96.62,0,28.99,3.982,8.817
1125000,103.31,1,24.97,4.586,1.876
1795500,180.23,1,26.9,0.547,13.108
592500,95.6,0,28.68,5.665,11.101
1565000,137.12,1,40.13,0.408,1.465
740000,95.88,0,28.76,1.959,12.935
1307500,120.68,1,36.2,0.791,2.625
735000,104.05,0,31.22,3.947,10.068
377500,58.53,0,17.56,6.593,10.316
687500,97.92,0,26.09,2.138,11.432
916000,74.97,1,21.82,2.619,8.415
527500,77.3,0,23.19,1.996,13.675
1574065,169.83,0,50.78,0.411,11.805
1525000,137.68,1,41.3,0.635,12.553
335000,80.27,0,24.08,8.503,10.074
1200000,143.81,1,42.42,1.681,11.26
675000,91.04,0,27.31,3.385,8.125
842500,70.23,1,21.07,1.679,3.314
825750,94.02,1,20.4,2.304,12.198
800000,103.68,0,31.1,2.643,1.667
699500,132.11,0,27.26,3.37,3.358
765000,141.21,0,32.22,1.825,8.994
675000,96.62,1,28.99,3.968,6.144
842500,125.42,0,34.78,2.587,11.777
620000,101.17,1,17.73,4.953,12.901
1047500,144.37,0,43.31,0.762,7.882
412500,131.09,0,38.63,1.283,3.644
697000,98.11,0,29.43,3.201,12.8
720000,98.11,0,29.43,1.791,6.051
1000000,133.78,1,40.13,1.841,11.434
300000,74.32,0,7.36,10.359,11.299
465000,75.34,1,22.6,3.028,7.297
425000,73.95,0,22.19,4.068,10.23
1322805,145.58,0,42.36,0.637,14.505
1370000,141.03,0,42.31,0.987,1.511
1130000,98.2,1,29.46,1.553,12.562
1725000,185.81,1,54.4,0.849,3.208
760000,72.46,1,21.74,3.253,2.144
1854390,164.07,0,49.22,0.461,7.218
716250,91.14,0,27.34,2.236,6.948
491500,97.36,0,0.0,4.745,9.247
775000,101.64,0,30.49,2.361,10.467
775000,97.64,1,21.07,2.204,1.678
422500,58.53,0,17.56,6.321,1.925
1029750,76.37,1,22.66,1.184,6.193
540000,70.14,1,21.04,5.154,12.569
